web-scraper-order,web-scraper-start-url,main,main-href,text
"1586557605-8736","https://www.azzaman.com/category/news/page/21","الدول والمناطق التي أصابها فيروس كورونا المرعب","https://www.azzaman.com/%d8%a7%d9%84%d8%af%d9%88%d9%84-%d9%88%d8%a7%d9%84%d9%85%d9%86%d8%a7%d8%b7%d9%82-%d8%a7%d9%84%d8%aa%d9%8a-%d8%a3%d8%b5%d8%a7%d8%a8%d9%87%d8%a7-%d9%81%d9%8a%d8%b1%d9%88%d8%b3-%d9%83%d9%88%d8%b1%d9%88/","الحالة الأولى التي سجّلت في تايوان لامرأة خمسينية وصلت من مقر إقامتها في ووهان في 20 كانون الثاني/يناير، وكانت تعاني من الحرارة والسعال وألم في الحنجرة."
"1586557317-7822","https://www.azzaman.com/category/news/page/24","ملك الأردن : مساعدة العراقيين تتصدّر مباحثاتي مع قادة أوربا","https://www.azzaman.com/%d9%85%d9%84%d9%83-%d8%a7%d9%84%d8%a3%d8%b1%d8%af%d9%86-%d9%85%d8%b3%d8%a7%d8%b9%d8%af%d8%a9-%d8%a7%d9%84%d8%b9%d8%b1%d8%a7%d9%82%d9%8a%d9%8a%d9%86-%d8%aa%d8%aa%d8%b5%d8%af%d9%91%d8%b1-%d9%85%d8%a8/",""
"1586557536-8470","https://www.azzaman.com/category/news/page/22","إيران: سننسحب من معاهدة منع الإنتشار النووي إذا أحيلت القضية للأمم...","https://www.azzaman.com/%d8%a5%d9%8a%d8%b1%d8%a7%d9%86-%d8%b3%d9%86%d9%86%d8%b3%d8%ad%d8%a8-%d9%85%d9%86-%d9%85%d8%b9%d8%a7%d9%87%d8%af%d8%a9-%d9%85%d9%86%d8%b9-%d8%a7%d9%84%d8%a5%d9%86%d8%aa%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84/","وأصرّت كندا على أن يتمّ “سريعًا” إرسال الصندوقَين الأسودَين العائدين للطائرة الأوكرانيّة المنكوبة التي أسقطتها إيران “خطأ” في 8 كانون الثاني/يناير، إلى أوكرانيا أو فرنسا لتحليلهما.وقال وزير الخارجيّة الكندي فرانسوا- فيليب شامبان امس إنّه اتّصل لهذه الغاية بنظيره الإيراني. وأوضح “كرّرتُ موقف كندا بأنّ يتمّ إرسال الصندوقَين الأسودين في أسرع وقت ممكن إمّا إلى أوكرانيا وإمّا إلى فرنسا” للكشف عليهما “في مكان توجد فيه الخبرة وتتمّ فيه (عمليّة الكشف) بطريقة شفّافة”.وجاء كلام الوزير الكنديّ ردًّا على تصريح مدير مكتب التحقيقات في منظّمة الطيران المدني الإيراني حسن رضايفار الذي أشار إلى أنّ إيران تعتزم الاحتفاظ بالصندوقين الأسودين، على الأقلّ في الوقت الحالي.ونقلت وكالة الأنباء الإيرانيّة الرسميّة “إرنا” عن رضايفار قوله إنّ “الصندوقين الأسودين للبوينغ 737  الأوكرانيّة موجودين في إيران ولا نعتزم في الوقت الحالي إرسالهما” إلى الخارج.وأضاف رضايفار “سنُحاول تحليل الصندوقين الأسودين في إيران، وخياراتنا التالية هي أوكرانيا وفرنسا، ولكن في الوقت الحاليّ لا نخطط لنقلهما إلى دولة أخرى”.وطالب رئيس الوزراء الكندي جاستن ترودو إيران الجمعة بإرسال الصندوقين الأسودين إلى مختبر في فرنسا لتحليلهما.وقال ترودو إنّ “بضع دول فقط مثل فرنسا لديها مختبرات قادرة على القيام بذلك”، مضيفًا “سيكون المكان السليم الذي يُرسل اليه الصندوقان الأسودان للحصول على معلومات مفيدة سريعًا، وهذا ما نشجّع السلطات الإيرانيّة على الموافقة على القيام به”.ومن أصل 176  شخصًا قضوا في هذه الكارثة، هناك 57  كنديًا. وكشف ترودو أنّ 28  آخرين كانوا يحملون إقامة دائمة في كندا.وقطعت كندا علاقاتها الدبلوماسيّة مع إيــــــــــــران في العام 2012  احتجاجًا على دعم طهران نظام الرئيس السوري بشّار الأسد. وأكد وزير الخارجية الروسي سيرغي لافروف، أن ست مقـاتلات أف 35  أمريكية كانت في الأجواء الإيرانية عند إسقاط الطائرة الأوكرانية.وبحسب قناة آر تي قال لافروف إن (إيران شعرت بقلق من تقارير عن مقاتلات أميركية عند إسقاط الطائرة الأوكرانية”.وأضاف أن “ست مقاتلات إف-35  أمريكية كانت في الأجواء الإيرانية عند إسقاط الطائرة الأوكرانية). وتحطمت طائرة الركاب التابعة لشركة خطوط الطيران الدولي الأوكرانية، فجر 3 كانون الثاني الجاري، خلال تنفيذها رحلة من طهران إلى كييف عقب إقلاعها بدقائق، في كارثة أودت بحياة 176 شخصا."
"1586557154-7290","https://www.azzaman.com/category/news/page/26","تحركات لصالح وعبد المهدي بهدف تفادي التصعيد وتأمين السيادة","https://www.azzaman.com/%d8%aa%d8%ad%d8%b1%d9%83%d8%a7%d8%aa-%d9%84%d8%b5%d8%a7%d9%84%d8%ad-%d9%88%d8%b9%d8%a8%d8%af-%d8%a7%d9%84%d9%85%d9%87%d8%af%d9%8a-%d8%a8%d9%87%d8%af%d9%81-%d8%aa%d9%81%d8%a7%d8%af%d9%8a-%d8%a7%d9%84/","وفي سياق متصل، ذكرت وزارة الدفاع الألمانية على تويتر أن ألمانيا قررت إرجاء عملية إحلال وتبديل مقبلة لقواتها في العراق."
"1586557396-8052","https://www.azzaman.com/category/news/page/24","البرلمان يرفض طلب الحكومة تمديد الخدمة الوظيفية لبعض المواليد","https://www.azzaman.com/%d8%a7%d9%84%d8%a8%d8%b1%d9%84%d9%85%d8%a7%d9%86-%d9%8a%d8%b1%d9%81%d8%b6-%d8%b7%d9%84%d8%a8-%d8%a7%d9%84%d8%ad%d9%83%d9%88%d9%85%d8%a9-%d8%aa%d9%85%d8%af%d9%8a%d8%af-%d8%a7%d9%84%d8%ae%d8%af%d9%85/",""
"1586557431-8164","https://www.azzaman.com/category/news/page/23","الصفدي يسلّم بغداد رسالة ملك الأردن بشأن الحفاظ على عراق آمن...","https://www.azzaman.com/%d8%a7%d9%84%d8%b5%d9%81%d8%af%d9%8a-%d9%8a%d8%b3%d9%84%d9%91%d9%85-%d8%a8%d8%ba%d8%af%d8%a7%d8%af-%d8%b1%d8%b3%d8%a7%d9%84%d8%a9-%d9%85%d9%84%d9%83-%d8%a7%d9%84%d8%a3%d8%b1%d8%af%d9%86-%d8%a8%d8%b4/","سلم وزير الخارجية الاردني ايمن الصفدي المسؤولين في بغداد رسالة الملك عبدالله الثاني بشأن الاحداث والتصعيد وضرورة خفض التوترات والحفاظ على عراق امن ومستقر، حيث التقى رئيس الجمهورية برهم صالح الصفدي وشددا على اهمية ترسيخ اسس السلام والاستقرار في المنطقة وتجنيبها عبث الحروب والنزاعات. وقال بيان تلقته (الزمان) امس ان (الجانبين بحثا اهمية تطوير العلاقات الثنائية بين البلدين الشقيقين وتوسيع آفاق التعاون بما يعزز التكامل الاقتصادي)، واكد صالح بحسب البيان ، ان (ضرورة ترسيخ أسس السلام والاستقرار في المنطقة وتجنيبها عبث الحروب والنزاعات التي تستنزف الطاقات البشرية والمادية، والركون إلى لغة الحوار الجاد والصريح لمعالجة الأزمات)، مشيرا الى ان (العراق لن يكون منطلقاً للاعتداء على أية دولة من دول الجوار أو يكون ساحة حرب لتصفية الحسابات)، لافتا الى (حرص العراق على أن يكون الركيزة الأساس لجمع شمل الأشقاء والأصدقاء بما يحقق المصالح المشتركة ويعزز السلام والأمان في المنطقة والعالم)، وحمل صالح ، الصفدي (تحياته إلى الملك عبد الله وتمنياته له بالتوفيق وللشعب الأردني الشقيق المزيد من التقدم والتطور). بدوره ، نقل الصفدي (تحيات الملك وتأكيده دعم أمن واستقرار العراق بعده ركيزة أمن المنطقة، فضلاً عن استفسار الملك بشأن صحة المرجع الديني الأعلى علي السيستاني وتمنياته له بموفور الصحة والعافية). كما التقى وزير الخارجية محمد علي الحيكم نظيره الاردني وناقشا جهود التهدئة الهادفة لامن واستقرار العراق والمنطقة . وقال الحكيم في مؤتمر مشترك مع الصفدي بعد لقاء جمعهما، إنه (تم التركيز على أن العراق لن يكون ساحة للحرب والمعارك، وشددنا على أهمية احترام سيادة العراق وعدم انتهاكها)، وأضاف الحكيم (أكدنا ضرورة إبعاد العراق عن التجاذبات الإقليمية وسياسة المحاور ودعم جهود محاربة التنظيمات الإرهابية)، مبيناً أن (الإرهاب لم ينته، وأن الإرهابيين ما يزالون في شرق الفرات)، واستطرد الحكيم  بالقول أنه (جرى مباحثات مكثفة مع الصفدي بشأن تعزيز العلاقات بما يخدم مصالح البلدين وان أراؤنا متشابهة بشأن القضايا المشتركة)."
"1586557377-7970","https://www.azzaman.com/category/news/page/24","الخدمات النيابية: المصلحة الإقتصادية وخدمة الأجيال تتحقّق في الإتفاقية الصينية","https://www.azzaman.com/%d8%a7%d9%84%d8%ae%d8%af%d9%85%d8%a7%d8%aa-%d8%a7%d9%84%d9%86%d9%8a%d8%a7%d8%a8%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%b5%d9%84%d8%ad%d8%a9-%d8%a7%d9%84%d8%a5%d9%82%d8%aa%d8%b5%d8%a7%d8%af%d9%8a%d8%a9/","و تحجز إيرادات 100ألف برميل يوميا من النفط المباعة للصين وبالتحديد لشركتي (زنهوا وسينوك) الصينية الوطنية وتوضع إيراداته في الصندوق العراقي الصيني."
"1586557221-7459","https://www.azzaman.com/category/news/page/25","أمانة بغداد تقطع أحد جوانب محمد القاسم غداً","https://www.azzaman.com/%d8%a3%d9%85%d8%a7%d9%86%d8%a9-%d8%a8%d8%ba%d8%af%d8%a7%d8%af-%d8%aa%d9%82%d8%b7%d8%b9-%d8%a3%d8%ad%d8%af-%d8%ac%d9%88%d8%a7%d9%86%d8%a8-%d9%85%d8%ad%d9%85%d8%af-%d8%a7%d9%84%d9%82%d8%a7%d8%b3%d9%85/",""
"1586557335-7839","https://www.azzaman.com/category/news/page/24","قائد عسكري أميركي في قاعدة عين الاسد : النجاة من القصف...","https://www.azzaman.com/%d9%82%d8%a7%d8%a6%d8%af-%d8%b9%d8%b3%d9%83%d8%b1%d9%8a-%d8%a3%d9%85%d9%8a%d8%b1%d9%83%d9%8a-%d9%81%d9%8a-%d9%82%d8%a7%d8%b9%d8%af%d8%a9-%d8%b9%d9%8a%d9%86-%d8%a7%d9%84%d8%a7%d8%b3%d8%af-%d8%a7/","وانتظر هؤلاء وسط التوتر، لأكثر من ساعتين."
"1586556482-6785","https://www.azzaman.com/category/news/page/29","صالح يعتذر عن تكليف العيداني لرئاسة الحكومة ويعلن إستعداده للإستقالة من...","https://www.azzaman.com/%d8%b5%d8%a7%d9%84%d8%ad-%d9%8a%d8%b9%d8%aa%d8%b0%d8%b1-%d8%b9%d9%86-%d8%aa%d9%83%d9%84%d9%8a%d9%81-%d8%a7%d9%84%d8%b9%d9%8a%d8%af%d8%a7%d9%86%d9%8a-%d9%84%d8%b1%d8%a6%d8%a7%d8%b3%d8%a9-%d8%a7%d9%84/","ومع تمسكنا بالنص الدستوري بوصفه سقفا حاكما في ادارة الدولة اود ان اشير الى ان مسؤوليتي الوطنية في هذا الظرف التاريخي الحساس , وفي ضوء الاستحقاقات التي فرضها حركة الاحتجاج المحقة لابناء شعبنا تحتم علينا ان ننظر الى المصلحة الوطنية العليا قبل النظر الى الاعتبارات الشخصية والسياسية."
